Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL DESEMBARGADOR LICURGO NUNES,24017205,RN,Marcelino Vieira,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA PROF MANOEL RAIMUNDO, SN ESCOLA. DA SUBESTACAO. 59970-000 Marcelino Vieira - RN.",(84) 33852028,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Médio,,-6.29459647,-38.15769291
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL PADRE BERNARDINO FERNANDES,24017221,RN,Marcelino Vieira,Urbana,A escola não está em área de localização diferenciada,Pública,"R CEL EPIFANIO FERNANDES, 300 CENTRO. 59970-000 Marcelino Vieira - RN.",(84) 33852308,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,Atividade Complementar,-6.2960443,-38.1632353
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL 26 DE MARCO,24017930,RN,Paraná,Urbana,A escola não está em área de localização diferenciada,Pública,"RN117, CENTRO. 59950-000 Paraná - RN.",(84) 33890062,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-6.48153141,-38.31060762
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL DOUTOR JOSE FERNANDES DE MELO,24018260,RN,Pau dos Ferros,Urbana,A escola não está em área de localização diferenciada,Pública,"R JOAQUIM TORQUATO, SN PARAISO. 59900-000 Pau dos Ferros - RN.",,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Médio,,-6.1053063,-38.211032
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL 4 DE SETEMBRO,24018287,RN,Pau dos Ferros,Urbana,A escola não está em área de localização diferenciada,Pública,"TRAVESSA JOAQUIM DE HOLANDA, 19 SAO JUDAS TADEU. 59900-000 Pau dos Ferros - RN.",(84) 981058887,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",,-6.11496786,-38.20853809
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL JOAO ESCOLASTICO,24018295,RN,Pau dos Ferros,Urbana,A escola não está em área de localização diferenciada,Pública,"R JOEL PRAXEDES, 1140 RIACHO DO MEIO. 59900-000 Pau dos Ferros - RN.",(84) 33512708,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,,-6.11263074,-38.22249265
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL JOSE GUEDES DO REGO,24018309,RN,Pau dos Ferros,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA PEDRO VELHO, 1267 CENTRO. 59900-000 Pau dos Ferros - RN.",(84) 33514114,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-6.1118638,-38.2039936
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL PROFESSORA MARIA EDILMA DE FREITAS,24018333,RN,Pau dos Ferros,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA RESPICIO JOSE DO NASCIMENTO, PRINCESINHA DO OESTE. 59900-000 Pau dos Ferros - RN.",(84) 998180103,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",,-6.1271307,-38.2049859
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL TARCISIO MAIA,24018341,RN,Pau dos Ferros,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA QUINTINO BOCAIUVA, 836 CENTRO. 59900-000 Pau dos Ferros - RN.",(84) 981789663,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,,-6.1098433,-38.2113665
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL TEOFILO REGO,24018368,RN,Pau dos Ferros,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA DES HEMETERIO FERNANDES, 60 ALTO DO IPIRANGA. 59900-000 Pau dos Ferros - RN.",(84) 981192089,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,,-6.1045621,-38.2064457
