Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL PROFESSORA MARIA LAURETANEA ROLIM BEZERRA DO VALE,24000019,RN,Areia Branca,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA JOSE AMARO DE SOUZA, COHAB. 59655-000 Areia Branca - RN.",(84) 33323531,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-4.95440445,-37.12390302
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL DESEMBARGADOR SILVERIO SOARES,24000027,RN,Areia Branca,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA FORTALEZA, 272 NORDESTE. 59655-000 Areia Branca - RN.",(84) 33325047,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",,-4.9496798,-37.1259517
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL CONEGO ISMAR FERNANDES DE QUEIROZ,24000132,RN,Areia Branca,Urbana,A escola não está em área de localização diferenciada,Pública,"BR 110 KM 01, BAIRRO ILHA. 59655-000 Areia Branca - RN.",(84) 33325042,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",,-4.9451545,-37.1190972
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL CONSELHEIRO BRITO GUERRA,24000140,RN,Areia Branca,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA MESTRE SILVERIO BARRETO, 247 CENTRO. 59655-000 Areia Branca - RN.",(84) 33323039,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Médio,,-4.956819,-37.13454
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL DOUTOR DAGMAR SABINO,24000175,RN,Areia Branca,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA RUI BARBOSA, CENTRO. 59655-000 Areia Branca - RN.",(84) 33322519,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL ELITA MONTE,24000191,RN,Areia Branca,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA RUI BARBOSA, SAO JOAO. 59655-000 Areia Branca - RN.",(84) 33325046,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação de Jovens Adultos,,-4.9508941,-37.1332185
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL PROFESSORA ANTONIA GIRLANDE BRUNO DA SILVA,24000213,RN,Areia Branca,Urbana,A escola não está em área de localização diferenciada,Pública,"R DR BRAZ BENEDITO DE MENDONCA, COHAB. 59655-000 Areia Branca - RN.",(84) 33323398,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL JOAO DE ABREU,24000647,RN,Baraúna,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA JERONIMO ROSADO, 426 CENTRO. 59695-000 Baraúna - RN.",(84) 33204756,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,Ensino Médio,,-5.0808323,-37.6146557
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL JUSTINA DO NASCIMENTO,24000655,RN,Baraúna,Rural,A escola não está em área de localização diferenciada,Pública,"RUA LUIZ MENDES, JUREMAL. 59695-000 Baraúna - RN.",(84) 999014041,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,,-5.1007594,-37.5453201
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL MARIANO AZEVEDO,24000663,RN,Baraúna,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA FRANCISCO DE AQUINO, 2730 CENTRO. 59695-000 Baraúna - RN.",,Estadual,Não Informado,Não,Sim,Até 50 matrículas de escolarização,Ensino Fundamental,,-5.0946249,-37.5917775
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL CORONEL SOLON,24000957,RN,Grossos,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA JOAO CANCIO DE CASTRO, 18 CENTRO. 59675-000 Grossos - RN.",(84) 33273561,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Médio,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL PROFESSOR MANUEL JOAO,24000965,RN,Grossos,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA RAIMUNDO FERREIRA, COQUEIROS. 59675-000 Grossos - RN.",(84) 33273563,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",,-4.9868981,-37.1518913
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL RUI BARBOSA,24001090,RN,Tibau,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA DAS OLIVEIRAS, CENTRO. 59678-000 Tibau - RN.",(84) 33262322,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",,-4.8429659,-37.2545268
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CE INTEGRADA PROF ELISEU VIANA,24001155,RN,Mossoró,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA DUODECIMO ROSADO, 984 NOVA BETANIA. 59607-020 Mossoró - RN.",(84) 33153805,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,-5.1845434,-37.3522247
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL JERONIMO ROSADO,24001180,RN,Mossoró,Urbana,A escola não está em área de localização diferenciada,Pública,"R FERREIRA ITAJUBA, SANTO ANTONIO. 59611-030 Mossoró - RN.",(84) 33155634,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEJA PROF ALFREDO SIMONETTI,24001252,RN,Mossoró,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA DR JOAO MARCELINO, SANTO ANTONIO. 59611-120 Mossoró - RN.",(84) 33155660,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Educação de Jovens Adultos,,-5.184998,-37.3475613
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL FRANCISCA MARTINS DE SOUZA,24001430,RN,Mossoró,Urbana,A escola não está em área de localização diferenciada,Pública,"AV FRANCISCO MOTA, PRES COSTA E SILVA. 59625-900 Mossoró - RN.",(84) 33153048,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,,-5.204215,-37.3281883
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL EDUCANDARIO ANTONIO BEZERRA DE SALES,24001600,RN,Mossoró,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA DEOCLECIO FLORENCIO FREIRE, 22 AEROPORTO. 59607-780 Mossoró - RN.",(84) 33153054,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL EDUCANDARIO PROFESSOR PAULO FREIRE,24001724,RN,Mossoró,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA JERONIMO ROSADO DE SOUSA, 87 SANTO ANTONIO. 59621-170 Mossoró - RN.",(84) 31555647,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-5.1680262,-37.3393117
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL DE TEMPO INTEGRAL AMBULATORIO CARDEAL CAMARA,24001813,RN,Mossoró,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA DR JOAO MARCELINO, SANTO ANTONIO. 59610-200 Mossoró - RN.",(84) 33155619,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-5.1736052,-37.3558625
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL PADRE SATIRO CAVALCANTI DANTAS,24001872,RN,Mossoró,Urbana,A escola não está em área de localização diferenciada,Pública,"AV ERONDINA CAVALCANTE DANTAS, S/N DOM JAIME CAMARA. 59628-800 Mossoró - RN.",(84) 33153049,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-5.2277542,-37.3190743
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL DISNEYLANDIA,24001899,RN,Mossoró,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA LOPES TROVAO, 604 DOZE ANOS. 59600-260 Mossoró - RN.",(84) 33155628,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-5.193112,-37.35152
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL GILBERTO ROLA,24001902,RN,Mossoró,Rural,Área de assentamento,Pública,"CONJ HAB ANGELO CALMON DE SA, 304 ZONA RURAL BR 304 KM09. 59600-970 Mossoró - RN.",(84) 33242077,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional, Educação de Jovens Adultos",Atendimento Educacional Especializado,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL JOAO PAULO II,24001910,RN,Mossoró,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA EST ITAGUACI FERNANDES, 158 ALTO DO SUMARE. 59633-440 Mossoró - RN.",(84) 33155638,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-5.226730937,-37.32756936
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL PROFESSOR HERMOGENES NOGUEIRA DA COSTAENSINO FUNDAMENTAL,24001953,RN,Mossoró,Urbana,A escola não está em área de localização diferenciada,Pública,"AV RIO BRANCO, 3460 BELO HORIZONTE. 59605-400 Mossoró - RN.",(84) 33149592,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-5.20195819,-37.35484911
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL TERTULIANO AYRES DIAS,24001970,RN,Mossoró,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA FRANCISCO HOLANDA, S/N PLANALTO 13 DE MAIO. 59631-100 Mossoró - RN.",(84) 33155666,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-5.2089304,-37.3370682
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL 30 DE SETEMBRO,24002011,RN,Mossoró,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA CORONEL MILTON FREIRE, ABOLICAO III. 59612-420 Mossoró - RN.",(84) 33153806,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-5.1644932,-37.3565206
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL ABOLICAO IV,24002046,RN,Mossoró,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA PRINCIPE DA BEIRA, ABOLICAO IV. 59614-415 Mossoró - RN.",(84) 33155615,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,,-5.155089,-37.3621324
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL AIDA RAMALHO CORTEZ PEREIRA,24002062,RN,Mossoró,Urbana,A escola não está em área de localização diferenciada,Pública,"R PROF ALEIXO PRATES E SILVA, WALFREDO GURGEL. 59628-240 Mossoró - RN.",(84) 33155616,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",,-5.215855,-37.32625
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL ALEIXO ROSA DA SILVA,24002070,RN,Mossoró,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA FRANCISCO BERNARDO II, CARNAUBAL. 59604-390 Mossoró - RN.",(84) 33155655,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,,-5.2049285,-37.3621058
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL ANTONIO GOMES,24002097,RN,Mossoró,Urbana,A escola não está em área de localização diferenciada,Pública,"R MARECHAL DEODORO, PAREDOES. 59618-120 Mossoró - RN.",(84) 33153856,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL CONEGO ESTEVAM DANTAS,24002127,RN,Mossoró,Urbana,A escola não está em área de localização diferenciada,Pública,"AV ALBERTO MARANHAO, 566 CENTRO. 59600-195 Mossoró - RN.",(84) 33152804,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,,-5.2013831,-37.3503859
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL CUNHA DA MOTA,24002151,RN,Mossoró,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA AFONSO PENA, PAREDOES. 59618-020 Mossoró - RN.",(84) 33155625,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,,-5.183658,-37.33703
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL DOM JAIME CAMARA,24002160,RN,Mossoró,Urbana,A escola não está em área de localização diferenciada,Pública,"R AURORA, PRES COSTA E SILVA. 59625-490 Mossoró - RN.",(84) 33155633,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,,-5.1979731,-37.3232714
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL DOUTOR EWERTON DANTAS CORTEZ,24002186,RN,Mossoró,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA MARTINS JUNIOR, PLANALTO 13 DE MAIO. 59631-350 Mossoró - RN.",(84) 33155629,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-5.214564,-37.33776
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL DOUTOR LAVOISIER MAIA,24002208,RN,Mossoró,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA DR JOAO MARCELINO, S/N NOVA BETANIA. 59610-200 Mossoró - RN.",(84) 33155630,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-5.1787987,-37.3532554
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL FRANCISCO ANTONIO MEDEIROS,24002224,RN,Mossoró,Urbana,A escola não está em área de localização diferenciada,Pública,"R MARIO CAMARA, 193 BELO HORIZONTE. 59600-490 Mossoró - RN.",(84) 33155631,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Ensino Médio, Educação Profissional",,-5.213346,-37.36002
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL GOV DIXSEPT ROSADO,24002232,RN,Mossoró,Urbana,A escola não está em área de localização diferenciada,Pública,"AV ALBERTO MARANHAO, BOM JARDIM. 59618-700 Mossoró - RN.",(84) 33153807,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional, Educação de Jovens Adultos",,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL JOSE MARTINS DE VASCONCELOS,24002240,RN,Mossoró,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA FREIRINHO, PLANALTO 13 DE MAIO. 59633-170 Mossoró - RN.",(84) 33155639,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",Atendimento Educacional Especializado,-5.223462,-37.32869
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL LUIZ DANTAS CAVALCANTI,24002259,RN,Mossoró,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA SENADOR RUI CARNEIRO, EM FRENTE A UBS. REDENCAO. 59620-355 Mossoró - RN.",(84) 33155640,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,,-5.142393,-37.34953
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL MANOEL JUSTINIANO DE MELO,24002267,RN,Mossoró,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA DOM HELDER CAMARA, 79 BELO HORIZONTE. 59600-445 Mossoró - RN.",(84) 33155644,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL MONSENHOR RAIMUNDO GURGEL,24002283,RN,Mossoró,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA JAEM MENESCAL, LAGOA DO MATO. 59604-200 Mossoró - RN.",(84) 33155646,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,-5.2021191,-37.3583889
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL MOREIRA DIAS,24002291,RN,Mossoró,Urbana,A escola não está em área de localização diferenciada,Pública,"R SILVA JARDIM, DOZE ANOS. 59603-100 Mossoró - RN.",(84) 33153803,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Médio,,-5.1911537,-37.3510437
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL PADRE ALFREDO,24002305,RN,Mossoró,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA LAURO MONTE, 360 SANTO ANTONIO. 59619-000 Mossoró - RN.",(84) 33155654,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",,-5.173506,-37.34633
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL PROFESSOR ABEL FREIRE COELHO,24002330,RN,Mossoró,Urbana,A escola não está em área de localização diferenciada,Pública,"R DR JOAO MARCELINO, NOVA BETANIA. 59610-200 Mossoró - RN.",(84) 31555658,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",Atendimento Educacional Especializado,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL ANTONIO DE SOUZA MACHADO,24002356,RN,Mossoró,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA MOACIR FERNANDES DANTAS, DOM JAIME CAMARA. 59628-619 Mossoró - RN.",(84) 33155620,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-5.2312644,-37.3165178
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL PROFESSOR HERMOGENES NOGUEIRA DA COSTA ENSINO FUNDAMENTAL E MEDIO,24002364,RN,Mossoró,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA CORONEL GLICERIO CICERO, ABOLICAO IV. 59614-420 Mossoró - RN.",(84) 33155651,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Médio,,-5.1545696,-37.3621051
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL PROFESSORA INALDA CABRAL,24002380,RN,Mossoró,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA LIRA TAVARES, SANTO ANTONIO. 59621-640 Mossoró - RN.",(84) 33154646,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-5.16524961,-37.33721009
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL PROFESSORA IRACEMA FERNANDES,24002399,RN,Mossoró,Rural,A escola não está em área de localização diferenciada,Pública,"SITIO PAU BRANCO, ZONA RURAL. 59649-899 Mossoró - RN.",(84) 33245044,Estadual,Não Informado,Não,Sim,Até 50 matrículas de escolarização,Ensino Fundamental,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL PROFESSOR JOSE DE FREITAS NOBRE,24002402,RN,Mossoró,Urbana,A escola não está em área de localização diferenciada,Pública,"AV FRANCISCO MOTA, COSTA E SILVA. 59625-300 Mossoró - RN.",(84) 33155652,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",Atendimento Educacional Especializado,-5.1996774,-37.3213184
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL PROFESSOR JOSE NOGUEIRA,24002410,RN,Mossoró,Urbana,A escola não está em área de localização diferenciada,Pública,"R 06 DE JANEIRO, SANTO ANTONIO. 59611-070 Mossoró - RN.",(84) 33153802,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",Atendimento Educacional Especializado,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL MANOEL JOAO,24002429,RN,Mossoró,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA JOSE DE SOUZA, ALTO SAO MANOEL. 59625-150 Mossoró - RN.",(84) 33155645,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",Atendimento Educacional Especializado,-5.204541,-37.3347029
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL PROFESSORA MARIA STELLA PINHEIRO COSTA,24002445,RN,Mossoró,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA WALTER WANDERLEY, ALTO SAO MANOEL. 59633-100 Mossoró - RN.",(84) 33155653,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Médio,Atendimento Educacional Especializado,-5.220075,-37.33154
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL PROFESSOR SOLON MOURA,24002453,RN,Mossoró,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA DR ALMEIDA CASTRO, 234 CENTRO. 59600-040 Mossoró - RN.",(84) 33153848,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,,-5.192125,-37.3396
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL SANTA DELMIRA,24003352,RN,Mossoró,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA SAO DOMINGOS, SANTA DELMIRA. 59615-120 Mossoró - RN.",(84) 33155663,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,,-5.1547143,-37.3555677
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL CENTENARIO DE MOSSORO,24003409,RN,Mossoró,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA FERREIRA ITAJUBA, SANTO ANTONIO. 59611-030 Mossoró - RN.",(84) 33155624,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL PADRE JOSE DE ANCHIETA,24003972,RN,Serra do Mel,Urbana,A escola não está em área de localização diferenciada,Pública,"VILA RIO GRANDE DO NORTE, CENTRO. 59663-000 Serra do Mel - RN.",(84) 33400992,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",,-5.168993,-37.04209
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL FERREIRA PINTO,24004251,RN,Apodi,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA 7 DE SETEMBRO, 227 CENTRO. 59700-000 Apodi - RN.",(84) 33332628,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",Atendimento Educacional Especializado,-5.6644407,-37.7957453
